computer	application	vendor	version
153307EIU	Java DB 10.5.3.0	Sun Microsystems, Inc	10.5.3.0
153307EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
153307EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
153307EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
153307EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
153307EIU	QuickTime	Apple Inc.	7.70.80.34
153307EIU	Bonjour	Apple Inc.	2.0.0.34
153307EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
153307EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
153307EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
153307EIU	Java(TM) 6 Update 29	Oracle	6.0.290
153307EIU	Java(TM) SE Development Kit 6 Update 21	Oracle	1.6.0.210
153307EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
153307EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
153307EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
153307EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
153307EIU	swMSM	Adobe Systems, Inc	12.0.0.1
153307EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
153307EIU	TI Connect 1.6	Texas Instruments Inc	1.6
153307EIU	iTunes	Apple Inc.	10.5.0.142
153307EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
153307EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
153307EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
153307EIU	Apple Application Support	Apple Inc.	2.1.5
153307EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
153307EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.4
