computer	application	vendor	version
157900EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
157900EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
157900EIU	Google Earth	Google	6.0.3.2197
157900EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
157900EIU	WolfVision Connectivity Software 1.11	WolfVision GmbH	1.0
157900EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
157900EIU	QuickTime	Apple Inc.	7.70.80.34
157900EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
157900EIU	Bonjour	Apple Inc.	1.0.106
157900EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
157900EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
157900EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
157900EIU	ENVI 4.7.01	ITT Visual Information Solutions	4.7.01
157900EIU	Java(TM) 6 Update 29	Oracle	6.0.290
157900EIU	MapViewer 7	Golden Software, Inc.	7.2.1931.0
157900EIU	ArcGIS Desktop 10	Environmental Systems Research Institute, Inc.	10.0.2414
157900EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
157900EIU	Notebook Software	SMART Technologies	10.0.522.2
157900EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
157900EIU	Spelling Dictionaries Support For Adobe Reader 9	Adobe Systems Incorporated	9.0.0
157900EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
157900EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
157900EIU	swMSM	Adobe Systems, Inc	12.0.0.1
157900EIU	TurningPoint 2008	Turning Technologies, LLC.	4.2.3.231
157900EIU	ENVI 4.8	ITT	4.8.0.0
157900EIU	Google Update Helper	Google Inc.	1.3.21.79
157900EIU	ArcGIS ArcInfo Workstation	Environmental Systems Research Institute, Inc.	10.0.2414
157900EIU	iTunes	Apple Inc.	10.5.0.142
157900EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
157900EIU	Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	8.0.61001
157900EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
157900EIU	Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319	Microsoft Corporation	10.0.30319
157900EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
157900EIU	Apple Application Support	Apple Inc.	2.1.5
157900EIU	Microsoft SQL Server 2008 Native Client	Microsoft Corporation	10.1.2531.0
157900EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
157900EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
157900EIU	DNRGarmin	GIS Section, Minnesota Department of Natural Resources	5.04.0001
