computer	application	vendor	version
161701EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
161701EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
161701EIU	Microsoft Application Error Reporting	Microsoft Corporation	12.0.6012.5000
161701EIU	Windows Live Essentials	Microsoft Corporation	15.4.3502.0922
161701EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161701EIU	CCC Help Korean	ATI	2009.1118.1259.23275
161701EIU	Windows Live Remote Client	Microsoft Corporation	15.4.5722.2
161701EIU	CCC Help Portuguese	ATI	2009.1118.1259.23275
161701EIU	CCC Help Turkish	ATI	2009.1118.1259.23275
161701EIU	Safari	Apple Inc.	5.33.21.1
161701EIU	DirectX 9 Runtime	Sonic Solutions	1.00.0000
161701EIU	Microsoft SQL Server 2005 Compact Edition [ENU]	Microsoft Corporation	3.1.0000
161701EIU	Catalyst Control Center Core Implementation	ATI	2009.1118.1260.23275
161701EIU	ccc-core-static	ATI	2009.1118.1260.23275
161701EIU	Upek Touchchip Fingerprint Reader	Dell Inc.	1.2.004
161701EIU	Windows Live SOXE Definitions	Microsoft Corporation	15.4.3502.0922
161701EIU	TurningPoint 2008	Turning Technologies, LLC.	4.3.1.1109
161701EIU	Windows Live Remote Service	Microsoft Corporation	15.4.5722.2
161701EIU	Messenger Companion	Microsoft Corporation	15.4.3502.0922
161701EIU	Windows Live ID Sign-in Assistant	Microsoft Corporation	7.250.4225.0
161701EIU	Broadcom NetXtreme-I Netlink Driver and Management Installer	Broadcom Corporation	12.54.03
161701EIU	CCC Help Italian	ATI	2009.1118.1259.23275
161701EIU	SMART Product Update	SMART Technologies ULC	4.0.58.0
161701EIU	Private Information Manager	Wave Systems Corp.	07.00.00.026
161701EIU	Apple Application Support	Apple Inc.	1.5.1
161701EIU	Windows Live Mesh ActiveX Control for Remote Connections	Microsoft Corporation	15.4.5722.2
161701EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
161701EIU	Trusted Drive Manager	Wave Systems Corp.	4.0.0.512
161701EIU	Windows Live Communications Platform	Microsoft Corporation	15.4.3502.0922
161701EIU	Windows Live Movie Maker	Microsoft Corporation	15.4.3502.0922
161701EIU	CCC Help German	ATI	2009.1118.1259.23275
161701EIU	Citrix online plug-in (HDX)	Citrix Systems, Inc.	12.1.44.1
161701EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.530
161701EIU	CCC Help Chinese Traditional	ATI	2009.1118.1259.23275
161701EIU	Windows Live UX Platform Language Pack	Microsoft Corporation	15.4.3508.1109
161701EIU	Windows Live Photo Gallery	Microsoft Corporation	15.4.3502.0922
161701EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
161701EIU	Windows Live Remote Service Resources	Microsoft Corporation	15.4.5722.2
161701EIU	Windows Live Mail	Microsoft Corporation	15.4.3502.0922
161701EIU	Java(TM) 6 Update 26	Oracle	6.0.240
161701EIU	Preboot Manager	Wave Systems Corp.	03.02.00.066
161701EIU	Windows Live Messenger	Microsoft Corporation	15.4.3502.0922
161701EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
161701EIU	Catalyst Control Center Graphics Previews Common	ATI	2009.1118.1260.23275
161701EIU	Citrix online plug-in (Web)	Citrix Systems, Inc.	12.1.44.1
161701EIU	EMBASSY Security Center	Wave Systems Corp.	04.02.00.072
161701EIU	Windows Live Remote Client Resources	Microsoft Corporation	15.4.5722.2
161701EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161701EIU	Mesh Runtime	Microsoft Corporation	15.4.5722.2
161701EIU	Adobe Reader X (10.1.0)	Adobe Systems Incorporated	10.1.0
161701EIU	SMART Notebook	SMART Technologies ULC	10.7.144.0
161701EIU	Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570	Microsoft Corporation	9.0.30729.5570
161701EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Corporation	9.0.30729.6161
161701EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
161701EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022	Microsoft Corporation	9.0.21022
161701EIU	CCC Help Japanese	ATI	2009.1118.1259.23275
