computer	application	vendor	version
161702EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
161702EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
161702EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
161702EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
161702EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
161702EIU	Microsoft Application Error Reporting	Microsoft Corporation	12.0.6012.5000
161702EIU	Windows Live Essentials	Microsoft Corporation	15.4.3502.0922
161702EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
161702EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161702EIU	CCC Help Korean	ATI	2009.1118.1259.23275
