computer	application	vendor	version
157913EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
157913EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6612.1000
157913EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
157913EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
157913EIU	QuickTime	Apple Inc.	7.70.80.34
157913EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
157913EIU	Bonjour	Apple Inc.	1.0.106
157913EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
157913EIU	SMART Product Drivers	SMART Technologies ULC	10.6.48.0
157913EIU	SMART Notebook	SMART Technologies ULC	10.6.96.0
157913EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
157913EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
157913EIU	Java(TM) 6 Update 26	Oracle	6.0.260
157913EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
157913EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
157913EIU	Spelling Dictionaries Support For Adobe Reader 9	Adobe Systems Incorporated	9.0.0
157913EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
157913EIU	Microsoft WSE 3.0 Runtime	Microsoft Corp.	3.0.5305.0
157913EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
157913EIU	swMSM	Adobe Systems, Inc	12.0.0.1
157913EIU	TurningPoint 2008	Turning Technologies, LLC.	4.2.3.231
157913EIU	J2SE Runtime Environment 5.0 Update 12	Sun Microsystems, Inc.	1.5.0.120
157913EIU	iTunes	Apple Inc.	10.5.0.142
157913EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
157913EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
157913EIU	Stata 11	StataCorp LP	11.0
157913EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
157913EIU	Apple Application Support	Apple Inc.	2.1.5
157913EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
157913EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
