computer	application	vendor	version
161712EIU	SMART Product Update	SMART Technologies ULC	4.0.58.0
161712EIU	Private Information Manager	Wave Systems Corp.	07.00.00.026
161712EIU	Windows Live Mesh ActiveX Control for Remote Connections	Microsoft Corporation	15.4.5722.2
161712EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
161712EIU	Trusted Drive Manager	Wave Systems Corp.	4.0.0.512
161712EIU	Windows Live Communications Platform	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live Movie Maker	Microsoft Corporation	15.4.3502.0922
161712EIU	CCC Help German	ATI	2009.1118.1259.23275
161712EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
161712EIU	CCC Help Chinese Traditional	ATI	2009.1118.1259.23275
161712EIU	Windows Live UX Platform Language Pack	Microsoft Corporation	15.4.3508.1109
161712EIU	Windows Live Photo Gallery	Microsoft Corporation	15.4.3502.0922
161712EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
161712EIU	Windows Live Remote Service Resources	Microsoft Corporation	15.4.5722.2
161712EIU	Windows Live Mail	Microsoft Corporation	15.4.3502.0922
161712EIU	Java(TM) 6 Update 29	Oracle	6.0.290
161712EIU	Preboot Manager	Wave Systems Corp.	03.02.00.066
161712EIU	Windows Live Messenger	Microsoft Corporation	15.4.3502.0922
161712EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
161712EIU	Catalyst Control Center Graphics Previews Common	ATI	2009.1118.1260.23275
161712EIU	EMBASSY Security Center	Wave Systems Corp.	04.02.00.072
161712EIU	Windows Live Remote Client Resources	Microsoft Corporation	15.4.5722.2
161712EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161712EIU	Mesh Runtime	Microsoft Corporation	15.4.5722.2
161712EIU	Adobe Reader X (10.1.1)	Adobe Systems Incorporated	10.1.1
161712EIU	SMART Notebook	SMART Technologies ULC	10.7.144.0
161712EIU	Bonjour	Apple Inc.	1.0.104
161712EIU	Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570	Microsoft Corporation	9.0.30729.5570
161712EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Corporation	9.0.30729.6161
161712EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
161712EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022	Microsoft Corporation	9.0.21022
161712EIU	CCC Help Japanese	ATI	2009.1118.1259.23275
161712EIU	Adobe AIR	Adobe Systems Incorporated	2.7.1.19610
161712EIU	Windows Live Photo Gallery	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live Photo Common	Microsoft Corporation	15.4.3502.0922
161712EIU	CCC Help Finnish	ATI	2009.1118.1259.23275
161712EIU	Windows Live PIMT Platform	Microsoft Corporation	15.4.3508.1109
161712EIU	D3DX10	Microsoft	15.4.2368.0902
161712EIU	MobileMe Control Panel	Apple Inc.	3.1.6.0
161712EIU	Junk Mail filter update	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live Movie Maker	Microsoft Corporation	15.4.3502.0922
161712EIU	CCC Help Greek	ATI	2009.1118.1259.23275
161712EIU	Catalyst Control Center Graphics Full Existing	ATI	2009.1118.1260.23275
161712EIU	Custom	Wave Systems Corp.	12.34.56.789
161712EIU	Windows Live Mesh	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live Messenger	Microsoft Corporation	15.4.3502.0922
161712EIU	ccc-utility	ATI	2009.1118.1260.23275
161712EIU	SMART Product Drivers	SMART Technologies ULC	10.7.182.1
161712EIU	CCC Help Chinese Standard	ATI	2009.1118.1259.23275
161712EIU	CCC Help Swedish	ATI	2009.1118.1259.23275
161712EIU	Windows Live MIME IFilter	Microsoft Corporation	15.4.3502.0922
161712EIU	Catalyst Control Center Graphics Light	ATI	2009.1118.1260.23275
161712EIU	CCC Help English	ATI	2009.1118.1259.23275
161712EIU	iTunes	Apple Inc.	10.5.0.142
161712EIU	PowerDVD	CyberLink Corp.	9.50.0000
161712EIU	RAIDXpert	AMD	3.2.1540.6
161712EIU	Applied Vision 4	Ken-A-Vision	4.1.2
161712EIU	Roxio BackOnTrack	Roxio	1.3.3
161712EIU	Windows Live Mail	Microsoft Corporation	15.4.3502.0922
161712EIU	NTRU TCG Software Stack	Security Innovation	2.1.34
161712EIU	MSVCRT	Microsoft	15.4.2862.0708
161712EIU	Skins	ATI	2009.1118.1260.23275
161712EIU	Roxio Burn	Roxio	1.8
161712EIU	CCC Help Danish	ATI	2009.1118.1259.23275
161712EIU	Catalyst Control Center Localization All	ATI	2009.1118.1260.23275
161712EIU	Windows Live Photo Common	Microsoft Corporation	15.4.3502.0922
161712EIU	AVerVision Software	AVerMedia INFORMATION, Inc.	3.5.1.0002
161712EIU	CCC Help Hungarian	ATI	2009.1118.1259.23275
161712EIU	CCC Help Dutch	ATI	2009.1118.1259.23275
161712EIU	PhotoShowExpress	Sonic Solutions	2.0.063
161712EIU	Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	8.0.61001
161712EIU	Windows Live Messenger Companion Core	Microsoft Corporation	15.4.3502.0922
161712EIU	Roxio Creator Starter	Roxio	5.0.0
161712EIU	CCC Help Polish	ATI	2009.1118.1259.23275
161712EIU	Gemalto	Wave Systems Corp	01.01.01.0000
161712EIU	Windows Live Mesh	Microsoft Corporation	15.4.3502.0922
161712EIU	LM Agent	Lumension Security, Inc.	7.0.0.691
161712EIU	Catalyst Control Center Graphics Full New	ATI	2009.1118.1260.23275
161712EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161712EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	Microsoft Corporation	9.0.30729.4148
161712EIU	CCC Help French	ATI	2009.1118.1259.23275
161712EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	Microsoft Corporation	9.0.30729
161712EIU	Microsoft Silverlight	Microsoft Corporation	4.0.60831.0
161712EIU	Bonjour	Apple Inc.	2.0.5.0
161712EIU	DellAccess	Wave Systems Corp.	01.00.00.078
161712EIU	Wave Support Software Installer	Wave Systems Corp	05.12.00.012
161712EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
161712EIU	CCC Help Spanish	ATI	2009.1118.1259.23275
161712EIU	Apple Application Support	Apple Inc.	2.1.5
161712EIU	Catalyst Control Center - Branding	ATI	1.00.0000
161712EIU	Sonic CinePlayer Decoder Pack	Sonic Solutions	4.3.0
161712EIU	Roxio Creator Starter	Roxio	1.0.439
161712EIU	Windows Live UX Platform	Microsoft Corporation	15.4.3502.0922
161712EIU	CCC Help Thai	ATI	2009.1118.1259.23275
161712EIU	PC-CCID	Gemalto	2.0.0
161712EIU	Roxio Activation Module	Roxio	1.0
161712EIU	Windows Live Writer Resources	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live Installer	Microsoft Corporation	15.4.3502.0922
161712EIU	Wave Infrastructure Installer	Wave Systems Corp	07.02.40.0008
161712EIU	Windows Live SOXE	Microsoft Corporation	15.4.3502.0922
161712EIU	Roxio File Backup	Roxio	1.3.2
161712EIU	CCC Help Norwegian	ATI	2009.1118.1259.23275
161712EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.5.1
161712EIU	Roxio Express Labeler 3	Roxio	3.2.2
161712EIU	Catalyst Control Center Graphics Previews Vista	ATI	2009.1118.1260.23275
161712EIU	CCC Help Russian	ATI	2009.1118.1259.23275
161712EIU	SPBA 5.9	UPEK Inc.	5.9.4.6686
161712EIU	CCC Help Czech	ATI	2009.1118.1259.23275
