computer	application	vendor	version
161712EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
161712EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
161712EIU	Microsoft Application Error Reporting	Microsoft Corporation	12.0.6012.5000
161712EIU	Windows Live Essentials	Microsoft Corporation	15.4.3502.0922
161712EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
161712EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161712EIU	CCC Help Korean	ATI	2009.1118.1259.23275
161712EIU	Windows Live Remote Client	Microsoft Corporation	15.4.5722.2
161712EIU	CCC Help Portuguese	ATI	2009.1118.1259.23275
161712EIU	CCC Help Turkish	ATI	2009.1118.1259.23275
161712EIU	Safari	Apple Inc.	5.33.21.1
161712EIU	DirectX 9 Runtime	Sonic Solutions	1.00.0000
161712EIU	Microsoft SQL Server 2005 Compact Edition [ENU]	Microsoft Corporation	3.1.0000
161712EIU	Catalyst Control Center Core Implementation	ATI	2009.1118.1260.23275
161712EIU	ccc-core-static	ATI	2009.1118.1260.23275
161712EIU	QuickTime	Apple Inc.	7.70.80.34
161712EIU	Upek Touchchip Fingerprint Reader	Dell Inc.	1.2.004
161712EIU	Windows Live SOXE Definitions	Microsoft Corporation	15.4.3502.0922
161712EIU	TurningPoint 2008	Turning Technologies, LLC.	4.3.1.1109
161712EIU	Windows Live Remote Service	Microsoft Corporation	15.4.5722.2
161712EIU	Messenger Companion	Microsoft Corporation	15.4.3502.0922
161712EIU	Windows Live ID Sign-in Assistant	Microsoft Corporation	7.250.4225.0
161712EIU	Broadcom NetXtreme-I Netlink Driver and Management Installer	Broadcom Corporation	12.54.03
161712EIU	CCC Help Italian	ATI	2009.1118.1259.23275
