computer	application	vendor	version
157909EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
157909EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
157909EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
157909EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
157909EIU	QuickTime	Apple Inc.	7.70.80.34
157909EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
157909EIU	Bonjour	Apple Inc.	1.0.106
157909EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
157909EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
157909EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
157909EIU	Java(TM) 6 Update 24	Oracle	6.0.240
157909EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
157909EIU	Notebook Software	SMART Technologies	10.0.522.2
157909EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
157909EIU	Spelling Dictionaries Support For Adobe Reader 9	Adobe Systems Incorporated	9.0.0
157909EIU	Panopto Focus Recorder	Panopto	3.0.4225
157909EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
157909EIU	Microsoft WSE 3.0 Runtime	Microsoft Corp.	3.0.5305.0
157909EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
157909EIU	swMSM	Adobe Systems, Inc	12.0.0.1
157909EIU	TurningPoint 2008	Turning Technologies, LLC.	4.2.3.231
157909EIU	J2SE Runtime Environment 5.0 Update 12	Sun Microsystems, Inc.	1.5.0.120
157909EIU	iTunes	Apple Inc.	10.5.0.142
157909EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
157909EIU	SMART Board Drivers	SMART Technologies	10.0.314.5
157909EIU	Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	8.0.61001
157909EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
157909EIU	Stata 11	StataCorp LP	11.0
157909EIU	PASW Statistics 18	SPSS Inc.	18.0.0
157909EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
157909EIU	Apple Application Support	Apple Inc.	2.1.5
157909EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
157909EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
