computer	application	vendor	version
161706EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
161706EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
161706EIU	Microsoft Application Error Reporting	Microsoft Corporation	12.0.6012.5000
161706EIU	Windows Live Essentials	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161706EIU	CCC Help Korean	ATI	2009.1118.1259.23275
161706EIU	Windows Live Remote Client	Microsoft Corporation	15.4.5722.2
161706EIU	Wolfram Notebook Indexer 2.0	Wolfram Research	2.18.34059
161706EIU	CCC Help Portuguese	ATI	2009.1118.1259.23275
161706EIU	CCC Help Turkish	ATI	2009.1118.1259.23275
161706EIU	Safari	Apple Inc.	5.33.21.1
161706EIU	DirectX 9 Runtime	Sonic Solutions	1.00.0000
161706EIU	Microsoft SQL Server 2005 Compact Edition [ENU]	Microsoft Corporation	3.1.0000
161706EIU	Catalyst Control Center Core Implementation	ATI	2009.1118.1260.23275
161706EIU	ccc-core-static	ATI	2009.1118.1260.23275
161706EIU	Upek Touchchip Fingerprint Reader	Dell Inc.	1.2.004
161706EIU	Windows Live SOXE Definitions	Microsoft Corporation	15.4.3502.0922
161706EIU	TurningPoint 2008	Turning Technologies, LLC.	4.3.1.1109
161706EIU	Windows Live Remote Service	Microsoft Corporation	15.4.5722.2
161706EIU	Messenger Companion	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live ID Sign-in Assistant	Microsoft Corporation	7.250.4225.0
161706EIU	Broadcom NetXtreme-I Netlink Driver and Management Installer	Broadcom Corporation	12.54.03
161706EIU	CCC Help Italian	ATI	2009.1118.1259.23275
161706EIU	SMART Product Update	SMART Technologies ULC	4.0.58.0
161706EIU	Private Information Manager	Wave Systems Corp.	07.00.00.026
161706EIU	Apple Application Support	Apple Inc.	1.5.1
161706EIU	Windows Live Mesh ActiveX Control for Remote Connections	Microsoft Corporation	15.4.5722.2
161706EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
161706EIU	Trusted Drive Manager	Wave Systems Corp.	4.0.0.512
161706EIU	Windows Live Communications Platform	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live Movie Maker	Microsoft Corporation	15.4.3502.0922
161706EIU	CCC Help German	ATI	2009.1118.1259.23275
161706EIU	Citrix online plug-in (HDX)	Citrix Systems, Inc.	12.1.44.1
161706EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
161706EIU	CCC Help Chinese Traditional	ATI	2009.1118.1259.23275
161706EIU	Windows Live UX Platform Language Pack	Microsoft Corporation	15.4.3508.1109
161706EIU	Windows Live Photo Gallery	Microsoft Corporation	15.4.3502.0922
161706EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
161706EIU	Windows Live Remote Service Resources	Microsoft Corporation	15.4.5722.2
161706EIU	Windows Live Mail	Microsoft Corporation	15.4.3502.0922
161706EIU	Java(TM) 6 Update 26	Oracle	6.0.240
161706EIU	Preboot Manager	Wave Systems Corp.	03.02.00.066
161706EIU	Windows Live Messenger	Microsoft Corporation	15.4.3502.0922
161706EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
161706EIU	Catalyst Control Center Graphics Previews Common	ATI	2009.1118.1260.23275
161706EIU	Citrix online plug-in (Web)	Citrix Systems, Inc.	12.1.44.1
161706EIU	EMBASSY Security Center	Wave Systems Corp.	04.02.00.072
161706EIU	Windows Live Remote Client Resources	Microsoft Corporation	15.4.5722.2
161706EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161706EIU	Mesh Runtime	Microsoft Corporation	15.4.5722.2
161706EIU	Adobe Reader X (10.1.0)	Adobe Systems Incorporated	10.1.0
161706EIU	SMART Notebook	SMART Technologies ULC	10.7.144.0
161706EIU	Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570	Microsoft Corporation	9.0.30729.5570
161706EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Corporation	9.0.30729.6161
161706EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
161706EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022	Microsoft Corporation	9.0.21022
161706EIU	CCC Help Japanese	ATI	2009.1118.1259.23275
161706EIU	Adobe AIR	Adobe Systems Incorporated	2.7.0.19480
161706EIU	Windows Live Photo Gallery	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live Photo Common	Microsoft Corporation	15.4.3502.0922
161706EIU	CCC Help Finnish	ATI	2009.1118.1259.23275
161706EIU	Windows Live PIMT Platform	Microsoft Corporation	15.4.3508.1109
161706EIU	D3DX10	Microsoft	15.4.2368.0902
161706EIU	MobileMe Control Panel	Apple Inc.	3.1.6.0
161706EIU	Junk Mail filter update	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live Movie Maker	Microsoft Corporation	15.4.3502.0922
161706EIU	iTunes	Apple Inc.	10.2.2.14
161706EIU	CCC Help Greek	ATI	2009.1118.1259.23275
161706EIU	Catalyst Control Center Graphics Full Existing	ATI	2009.1118.1260.23275
161706EIU	Custom	Wave Systems Corp.	12.34.56.789
161706EIU	Windows Live Mesh	Microsoft Corporation	15.4.3502.0922
161706EIU	Windows Live Messenger	Microsoft Corporation	15.4.3502.0922
161706EIU	ccc-utility	ATI	2009.1118.1260.23275
161706EIU	SMART Product Drivers	SMART Technologies ULC	10.7.182.1
161706EIU	CCC Help Chinese Standard	ATI	2009.1118.1259.23275
161706EIU	CCC Help Swedish	ATI	2009.1118.1259.23275
161706EIU	Windows Live MIME IFilter	Microsoft Corporation	15.4.3502.0922
161706EIU	Catalyst Control Center Graphics Light	ATI	2009.1118.1260.23275
161706EIU	CCC Help English	ATI	2009.1118.1259.23275
161706EIU	QuickTime	Apple Inc.	7.69.80.9
161706EIU	PowerDVD	CyberLink Corp.	9.50.0000
161706EIU	RAIDXpert	AMD	3.2.1540.6
161706EIU	Roxio BackOnTrack	Roxio	1.3.3
161706EIU	Windows Live Mail	Microsoft Corporation	15.4.3502.0922
161706EIU	NTRU TCG Software Stack	Security Innovation	2.1.34
161706EIU	MSVCRT	Microsoft	15.4.2862.0708
161706EIU	Skins	ATI	2009.1118.1260.23275
161706EIU	Roxio Burn	Roxio	1.8
161706EIU	CCC Help Danish	ATI	2009.1118.1259.23275
161706EIU	Catalyst Control Center Localization All	ATI	2009.1118.1260.23275
161706EIU	Windows Live Photo Common	Microsoft Corporation	15.4.3502.0922
161706EIU	CCC Help Hungarian	ATI	2009.1118.1259.23275
161706EIU	CCC Help Dutch	ATI	2009.1118.1259.23275
161706EIU	Origin81	OriginLab	8.10.000
161706EIU	PhotoShowExpress	Sonic Solutions	2.0.063
161706EIU	Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	8.0.61001
161706EIU	Sassafras K2 Client	Sassafras Software Inc.	6.2
161706EIU	Windows Live Messenger Companion Core	Microsoft Corporation	15.4.3502.0922
161706EIU	Roxio Creator Starter	Roxio	5.0.0
161706EIU	CCC Help Polish	ATI	2009.1118.1259.23275
161706EIU	Gemalto	Wave Systems Corp	01.01.01.0000
161706EIU	Windows Live Mesh	Microsoft Corporation	15.4.3502.0922
161706EIU	LM Agent	Lumension Security, Inc.	7.0.0.691
161706EIU	Catalyst Control Center Graphics Full New	ATI	2009.1118.1260.23275
161706EIU	Windows Live Writer	Microsoft Corporation	15.4.3502.0922
161706EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	Microsoft Corporation	9.0.30729.4148
161706EIU	CCC Help French	ATI	2009.1118.1259.23275
161706EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	Microsoft Corporation	9.0.30729
161706EIU	Microsoft Silverlight	Microsoft Corporation	4.0.60531.0
161706EIU	Bonjour	Apple Inc.	2.0.5.0
161706EIU	DellAccess	Wave Systems Corp.	01.00.00.078
161706EIU	Wave Support Software Installer	Wave Systems Corp	05.12.00.012
161706EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
161706EIU	CCC Help Spanish	ATI	2009.1118.1259.23275
161706EIU	Catalyst Control Center - Branding	ATI	1.00.0000
161706EIU	Sonic CinePlayer Decoder Pack	Sonic Solutions	4.3.0
161706EIU	Roxio Creator Starter	Roxio	1.0.439
161706EIU	Windows Live UX Platform	Microsoft Corporation	15.4.3502.0922
161706EIU	CCC Help Thai	ATI	2009.1118.1259.23275
161706EIU	PC-CCID	Gemalto	2.0.0
161706EIU	Roxio Activation Module	Roxio	1.0
161706EIU	Windows Live Writer Resources	Microsoft Corporation	15.4.3502.0922
161706EIU	Citrix online plug-in (USB)	Citrix Systems, Inc.	12.1.44.1
161706EIU	Windows Live Installer	Microsoft Corporation	15.4.3502.0922
161706EIU	Wave Infrastructure Installer	Wave Systems Corp	07.02.40.0008
161706EIU	Citrix online plug-in (DV)	Citrix Systems, Inc.	12.1.44.1
161706EIU	Windows Live SOXE	Microsoft Corporation	15.4.3502.0922
161706EIU	Roxio File Backup	Roxio	1.3.2
161706EIU	Apple Mobile Device Support	Apple Inc.	3.4.0.25
161706EIU	CCC Help Norwegian	ATI	2009.1118.1259.23275
161706EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.5.1
161706EIU	Roxio Express Labeler 3	Roxio	3.2.2
161706EIU	Catalyst Control Center Graphics Previews Vista	ATI	2009.1118.1260.23275
161706EIU	CCC Help Russian	ATI	2009.1118.1259.23275
161706EIU	SPBA 5.9	UPEK Inc.	5.9.4.6686
161706EIU	CCC Help Czech	ATI	2009.1118.1259.23275
