computer	application	vendor	version
157901EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
157901EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
157901EIU	Google Earth	Google	6.0.3.2197
157901EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
157901EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
157901EIU	QuickTime	Apple Inc.	7.70.80.34
157901EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
157901EIU	Bonjour	Apple Inc.	1.0.106
157901EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
157901EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
157901EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
157901EIU	Java(TM) 6 Update 29	Oracle	6.0.290
157901EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
157901EIU	Notebook Software	SMART Technologies	10.0.522.2
157901EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
157901EIU	Spelling Dictionaries Support For Adobe Reader 9	Adobe Systems Incorporated	9.0.0
157901EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
157901EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
157901EIU	swMSM	Adobe Systems, Inc	12.0.0.1
157901EIU	TurningPoint 2008	Turning Technologies, LLC.	4.2.3.231
157901EIU	Google Update Helper	Google Inc.	1.3.21.79
157901EIU	iTunes	Apple Inc.	10.5.0.142
157901EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
157901EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
157901EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
157901EIU	Apple Application Support	Apple Inc.	2.1.5
157901EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
157901EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
