computer	application	vendor	version
157885EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
157885EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
157885EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
157885EIU	Shared Add-in Support Update for Microsoft .NET Framework 2.0 (KB908002)	Microsoft	1.0.0
157885EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
157885EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
157885EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
157885EIU	Windows Media Encoder 9 Series	Microsoft Corporation	9.00.2980
157885EIU	Adobe AIR	Adobe Systems Inc.	1.5.3.9130
157885EIU	QuickTime	Apple Inc.	7.70.80.34
157885EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
157885EIU	Bonjour	Apple Inc.	1.0.106
157885EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
157885EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
157885EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
157885EIU	Java(TM) 6 Update 26	Oracle	6.0.260
157885EIU	Acrobat.com	Adobe Systems Incorporated	2.0.0
157885EIU	Notebook Software	SMART Technologies	10.0.522.2
157885EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
157885EIU	Spelling Dictionaries Support For Adobe Reader 9	Adobe Systems Incorporated	9.0.0
157885EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
157885EIU	LM Agent	Lumension Security, Inc.	7.0.0.615
157885EIU	swMSM	Adobe Systems, Inc	12.0.0.1
157885EIU	TurningPoint 2008	Turning Technologies, LLC.	4.2.3.231
157885EIU	Java 2 Runtime Environment, SE v1.4.2_06	Sun Microsystems, Inc.	1.4.2_06
157885EIU	CambridgeSoft Activation Client	CambridgeSoft Corporation	12.0
157885EIU	iTunes	Apple Inc.	10.5.0.142
157885EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
157885EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
157885EIU	StarBoard Software	Hitachi Software Engineering Co., Ltd.	8.0
157885EIU	EZ OMNIC	Thermo Electron Corporation	7.1.434
157885EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
157885EIU	Apple Application Support	Apple Inc.	2.1.5
157885EIU	CambridgeSoft ChemBio3D Ultra 12.0	CambridgeSoft Corporation	12.0
157885EIU	StarBoard Software StandardGallery		8.00.0000
157885EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
157885EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
