computer	application	vendor	version
160618EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160618EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160618EIU	Adobe AIR	Adobe Systems Incorporated	2.6.0.19140
160618EIU	SMART Board Software	SMART Technologies Inc.	9.7.103.1
160618EIU	Google Toolbar for Internet Explorer	Google Inc.	1.0.0
160618EIU	Apple Application Support	Apple Inc.	1.5.1
160618EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160618EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160618EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
160618EIU	Java(TM) 6 Update 25	Oracle	6.0.250
160618EIU	Skype™ 5.5	Skype Technologies S.A.	5.5.114
160618EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160618EIU	SALT 2010 Instructional	SALT Software LLC	2010.0.0
160618EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160618EIU	Adobe Reader X	Adobe Systems Incorporated	10.0.0
160618EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160618EIU	Click to Call with Skype	Skype Technologies S.A.	5.6.8153
160618EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
160618EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160618EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160618EIU	Google Update Helper	Google Inc.	1.3.21.79
160618EIU	QuickTime	Apple Inc.	7.69.80.9
160618EIU	Apple Software Update	Apple Inc.	2.1.2.120
160618EIU	iTunes	Apple Inc.	10.2.2.12
160618EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160618EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
160618EIU	Microsoft Silverlight	Microsoft Corporation	4.0.60831.0
160618EIU	SMART Essentials for Educators	SMART Technologies Inc.	1.2.1.0
160618EIU	Bonjour	Apple Inc.	2.0.2.0
160618EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160618EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160618EIU	Apple Mobile Device Support	Apple Inc.	3.4.0.25
160618EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
