computer	application	vendor	version
160602EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160602EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160602EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
160602EIU	Google Toolbar for Internet Explorer	Google Inc.	1.0.0
160602EIU	QuickTime	Apple Inc.	7.70.80.34
160602EIU	AVer+	AVerMedia Information, Inc.	1.5.1.06
160602EIU	OGA Notifier 2.0.0048.0	Microsoft Corporation	2.0.0048.0
160602EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160602EIU	SMART Product Drivers	SMART Technologies ULC	10.6.48.0
160602EIU	SMART Notebook	SMART Technologies ULC	10.6.96.0
160602EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160602EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
160602EIU	Java(TM) 6 Update 26	Oracle	6.0.260
160602EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160602EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160602EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
160602EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160602EIU	Microsoft WSE 3.0 Runtime	Microsoft Corp.	3.0.5305.0
160602EIU	Adobe AIR	Adobe Systems Incorporated	2.7.1.19610
160602EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
160602EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160602EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160602EIU	J2SE Runtime Environment 5.0 Update 12	Sun Microsystems, Inc.	1.5.0.120
160602EIU	Google Update Helper	Google Inc.	1.3.21.79
160602EIU	iTunes	Apple Inc.	10.5.0.142
160602EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160602EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
160602EIU	Bonjour	Apple Inc.	2.0.2.0
160602EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160602EIU	Apple Application Support	Apple Inc.	2.1.5
160602EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160602EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
