computer	application	vendor	version
153336EIU	Microsoft Office Professional Plus 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office OneNote MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office InfoPath MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Access MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Shared Setup Metadata MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Excel MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Access Setup Metadata MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office PowerPoint MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Publisher MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Outlook MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Groove MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Word MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Proofing (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Shared MUI (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Proof (English) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Proof (Spanish) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Microsoft Office Proof (French) 2010	Microsoft Corporation	14.0.6029.1000
153336EIU	Adobe Flash Player 10 Plugin	Adobe Systems Incorporated	10.3.183.10
153336EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.6005.562
153336EIU	Java(TM) 6 Update 27	Oracle	6.0.270
153336EIU	Adobe Flash Player 10 ActiveX	Adobe Systems Incorporated	10.3.183.10
153336EIU	Adobe Reader X (10.1.0)	Adobe Systems Incorporated	10.1.0
153336EIU	ZCS Connector for Outlook	VMware, Inc	6.0.6100.13
153336EIU	7-Zip 9.20	Igor Pavlov	9.20.00.0
153336EIU	QuickTime	Apple Inc.	7.69.80.9
153336EIU	Adobe Shockwave Player 11.5	Adobe Systems, Inc	11.5.10.620
153336EIU	Apple Application Support	Apple Inc.	1.4.1
153336EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.6.1
